sample_id,population,fis
HG01879,ACB,-0.01999
HG01880,ACB,-0.08387
HG01882,ACB,0.01283
HG01883,ACB,-0.008985
HG01885,ACB,0.007227
HG01886,ACB,-0.00389
HG01889,ACB,0.01083
HG01890,ACB,-0.01077
HG01894,ACB,0.001423
HG01896,ACB,0.01998
HG01912,ACB,0.01123
HG01914,ACB,-0.00878
HG01915,ACB,-0.0002983
HG01956,ACB,0.002051
HG01958,ACB,-0.0185
HG01985,ACB,0.001586
HG01986,ACB,-0.001418
HG01988,ACB,-0.03967
HG01989,ACB,-0.009736
HG01990,ACB,-0.001022
HG02009,ACB,-0.013
HG02010,ACB,-0.0152
HG02012,ACB,-0.00262
HG02013,ACB,0.009781
HG02014,ACB,-0.01218
HG02051,ACB,0.01515
HG02052,ACB,0.01117
HG02053,ACB,0.0016
HG02054,ACB,-0.00949
HG02095,ACB,0.004714
HG02107,ACB,0.007568
HG02108,ACB,-0.009954
HG02111,ACB,0.005807
HG02143,ACB,-0.01495
HG02144,ACB,0.007172
HG02255,ACB,0.001313
HG02256,ACB,-0.02446
HG02281,ACB,0.01365
HG02282,ACB,-0.01949
HG02283,ACB,-0.02345
HG02284,ACB,-0.01147
HG02307,ACB,-0.00176
HG02308,ACB,-0.001568
HG02309,ACB,-0.004081
HG02314,ACB,0.006271
HG02315,ACB,-0.01095
HG02317,ACB,0.009494
HG02318,ACB,0.01273
HG02322,ACB,-0.007059
HG02323,ACB,0.006326
HG02325,ACB,0.01658
HG02330,ACB,-0.008192
HG02332,ACB,5.678e-05
HG02334,ACB,-0.03198
HG02337,ACB,-0.007195
HG02339,ACB,0.03932
HG02343,ACB,-0.02767
HG02419,ACB,0.008456
HG02420,ACB,-0.06069
HG02427,ACB,0.005301
HG02429,ACB,0.0001114
HG02433,ACB,-0.0149
HG02439,ACB,0.006968
HG02442,ACB,0.01862
HG02445,ACB,-0.008534
HG02449,ACB,0.01236
HG02450,ACB,-0.0005305
HG02455,ACB,-0.005611
HG02470,ACB,0.004823
HG02471,ACB,0.005971
HG02476,ACB,-0.01752
HG02477,ACB,-0.01391
HG02479,ACB,0.001573
HG02481,ACB,0.0003026
HG02484,ACB,-0.01094
HG02485,ACB,-0.02757
HG02489,ACB,-0.002361
HG02496,ACB,5.678e-05
HG02497,ACB,0.008606
HG02501,ACB,-0.02316
HG02502,ACB,-0.008957
HG02505,ACB,0.004359
HG02508,ACB,-0.0007354
HG02511,ACB,0.00735
HG02536,ACB,-0.01779
HG02537,ACB,0.01016
HG02541,ACB,-0.02292
HG02545,ACB,0.005151
HG02546,ACB,0.001723
HG02549,ACB,0.01109
HG02554,ACB,-0.002743
HG02555,ACB,-0.008042
HG02557,ACB,0.004154
HG02558,ACB,-0.002374
HG02577,ACB,-0.01655
HG02580,ACB,-0.01071
NA19625,ASW,-0.05011
NA19700,ASW,-0.01048
NA19701,ASW,-0.001794
NA19703,ASW,0.005889
NA19704,ASW,0.003203
NA19707,ASW,-0.01235
NA19711,ASW,0.002571
NA19712,ASW,0.01298
NA19713,ASW,-0.01653
NA19818,ASW,-0.002277
NA19819,ASW,-0.006199
NA19834,ASW,-0.02112
NA19835,ASW,-0.003177
NA19900,ASW,-0.004749
NA19901,ASW,0.01561
NA19904,ASW,0.002343
NA19908,ASW,0.01283
NA19909,ASW,0.001618
NA19913,ASW,0.007152
NA19914,ASW,-0.015
NA19916,ASW,0.009851
NA19917,ASW,0.02324
NA19920,ASW,0.01176
NA19921,ASW,-0.03893
NA19922,ASW,-0.01657
NA19923,ASW,-0.01877
NA19982,ASW,0.003915
NA19984,ASW,-0.003379
NA20126,ASW,-0.01626
NA20127,ASW,0.02197
NA20274,ASW,-0.06017
NA20276,ASW,-0.009946
NA20278,ASW,-0.08497
NA20281,ASW,0.0005434
NA20282,ASW,-0.01986
NA20287,ASW,0.00417
NA20289,ASW,0.001
NA20291,ASW,0.02011
NA20294,ASW,-0.00491
NA20296,ASW,-0.01543
NA20298,ASW,0.01944
NA20299,ASW,-0.07857
NA20314,ASW,0.09729
NA20317,ASW,-0.006615
NA20318,ASW,-0.02238
NA20320,ASW,0.004653
NA20321,ASW,-0.003029
NA20332,ASW,-0.01878
NA20334,ASW,-0.02447
