,node
0,HG00116
1,HG00238
2,HG00405
3,HG00408
4,HG00418
5,HG00420
6,HG00423
7,HG00429
8,HG00438
9,HG00444
10,HG00447
11,HG00450
12,HG00453
13,HG00459
14,HG00465
15,HG00474
16,HG00475
17,HG00476
18,HG00480
19,HG00501
20,HG00502
21,HG00512
22,HG00514
23,HG00526
24,HG00532
25,HG00535
26,HG00538
27,HG00544
28,HG00552
29,HG00555
30,HG00558
31,HG00561
32,HG00567
33,HG00577
34,HG00578
35,HG00579
36,HG00580
37,HG00581
38,HG00585
39,HG00591
40,HG00594
41,HG00595
42,HG00596
43,HG00609
44,HG00612
45,HG00615
46,HG00621
47,HG00627
48,HG00630
49,HG00635
50,HG00636
51,HG00639
52,HG00642
53,HG00652
54,HG00655
55,HG00658
56,HG00664
57,HG00673
58,HG00685
59,HG00691
60,HG00694
61,HG00700
62,HG00702
63,HG00703
64,HG00706
65,HG00709
66,HG00733
67,HG00735
68,HG00738
69,HG00741
70,HG00881
71,HG01050
72,HG01056
73,HG01062
74,HG01068
75,HG01071
76,HG01074
77,HG01081
78,HG01084
79,HG01087
80,HG01096
81,HG01099
82,HG01100
83,HG01103
84,HG01106
85,HG01109
86,HG01114
87,HG01126
88,HG01135
89,HG01138
90,HG01141
91,HG01150
92,HG01169
93,HG01172
94,HG01175
95,HG01178
96,HG01184
97,HG01189
98,HG01192
99,HG01199
100,HG01206
101,HG01243
102,HG01249
103,HG01252
104,HG01255
105,HG01258
106,HG01261
107,HG01273
108,HG01276
109,HG01279
110,HG01343
111,HG01346
112,HG01349
113,HG01352
114,HG01355
115,HG01358
116,HG01361
117,HG01367
118,HG01376
119,HG01379
120,HG01385
121,HG01391
122,HG01433
123,HG01439
124,HG01457
125,HG01463
126,HG01466
127,HG01490
128,HG01493
129,HG01496
130,HG01499
131,HG01502
132,HG01505
133,HG01508
134,HG01511
135,HG01514
136,HG01517
137,HG01520
138,HG01523
139,HG01526
140,HG01529
141,HG01532
142,HG01538
143,HG01552
144,HG01567
145,HG01573
146,HG01579
147,HG01601
148,HG01604
149,HG01609
150,HG01611
151,HG01614
152,HG01616
153,HG01621
154,HG01622
155,HG01627
156,HG01629
157,HG01633
158,HG01667
159,HG01671
160,HG01674
161,HG01677
162,HG01681
163,HG01687
164,HG01696
165,HG01698
166,HG01701
167,HG01703
168,HG01706
169,HG01711
170,HG01748
171,HG01755
172,HG01763
173,HG01772
174,HG01774
175,HG01778
176,HG01780
177,HG01782
178,HG01881
179,HG01884
180,HG01887
181,HG01888
182,HG01891
183,HG01895
184,HG01897
185,HG01898
186,HG01916
187,HG01919
188,HG01922
189,HG01925
190,HG01928
191,HG01934
192,HG01935
193,HG01936
194,HG01940
195,HG01943
196,HG01946
197,HG01949
