sample_id,population,fis
HG01879,ACB,-0.01975
HG01880,ACB,-0.08412
HG01882,ACB,0.01301
HG01883,ACB,-0.00895
HG01885,ACB,0.007268
HG01886,ACB,-0.003922
HG01889,ACB,0.01116
HG01890,ACB,-0.01102
HG01894,ACB,0.001074
HG01896,ACB,0.02028
HG01912,ACB,0.01119
HG01914,ACB,-0.008988
HG01915,ACB,-0.0007348
HG01956,ACB,0.001583
HG01958,ACB,-0.01826
HG01985,ACB,0.00152
HG01986,ACB,-0.001212
HG01988,ACB,-0.03985
HG01989,ACB,-0.01045
HG01990,ACB,-0.0017
HG02009,ACB,-0.01312
HG02010,ACB,-0.0149
HG02012,ACB,-0.002902
HG02013,ACB,0.00976
HG02014,ACB,-0.0126
HG02051,ACB,0.0145
HG02052,ACB,0.01136
HG02053,ACB,0.001243
HG02054,ACB,-0.009817
HG02095,ACB,0.004621
HG02107,ACB,0.007404
HG02108,ACB,-0.01018
HG02111,ACB,0.005815
HG02143,ACB,-0.01513
HG02144,ACB,0.006979
HG02255,ACB,0.001055
HG02256,ACB,-0.02481
HG02281,ACB,0.01344
HG02282,ACB,-0.02002
HG02283,ACB,-0.02359
HG02284,ACB,-0.01173
HG02307,ACB,-0.002219
HG02308,ACB,-0.001357
HG02309,ACB,-0.003813
HG02314,ACB,0.0061
HG02315,ACB,-0.01159
HG02317,ACB,0.008943
HG02318,ACB,0.01234
HG02322,ACB,-0.007339
HG02323,ACB,0.00603
HG02325,ACB,0.01636
HG02330,ACB,-0.008223
HG02332,ACB,0.0001727
HG02334,ACB,-0.03256
HG02337,ACB,-0.007311
HG02339,ACB,0.03919
HG02343,ACB,-0.02827
HG02419,ACB,0.008412
HG02420,ACB,-0.06115
HG02427,ACB,0.00477
HG02429,ACB,-1.037e-05
HG02433,ACB,-0.01492
HG02439,ACB,0.006873
HG02442,ACB,0.01832
HG02445,ACB,-0.008581
HG02449,ACB,0.0124
HG02450,ACB,-0.0005865
HG02455,ACB,-0.005793
HG02470,ACB,0.004337
HG02471,ACB,0.005526
HG02476,ACB,-0.01773
HG02477,ACB,-0.01381
HG02479,ACB,0.001297
HG02481,ACB,7.587e-05
HG02484,ACB,-0.01147
HG02485,ACB,-0.02813
HG02489,ACB,-0.00229
HG02496,ACB,-0.0003247
HG02497,ACB,0.008496
HG02501,ACB,-0.02323
HG02502,ACB,-0.008857
HG02505,ACB,0.00433
HG02508,ACB,-0.0008917
HG02511,ACB,0.007048
HG02536,ACB,-0.01838
HG02537,ACB,0.01017
HG02541,ACB,-0.02327
HG02545,ACB,0.004728
HG02546,ACB,0.001132
HG02549,ACB,0.01093
HG02554,ACB,-0.002822
HG02555,ACB,-0.007933
HG02557,ACB,0.004012
HG02558,ACB,-0.00216
HG02577,ACB,-0.0167
HG02580,ACB,-0.01071
HGDP01381,Adygei,-0.0271
HGDP01382,Adygei,-0.01998
HGDP01383,Adygei,-0.01356
HGDP01384,Adygei,-0.005635
HGDP01385,Adygei,-0.03697
HGDP01386,Adygei,-0.02475
HGDP01387,Adygei,-0.02487
HGDP01388,Adygei,-0.04581
HGDP01396,Adygei,-0.04331
HGDP01397,Adygei,-0.02503
HGDP01398,Adygei,-0.03313
HGDP01399,Adygei,-0.02878
HGDP01400,Adygei,-0.03624
HGDP01403,Adygei,-0.0311
HGDP01404,Adygei,-0.04233
LP6005441-DNA_A01,Adygei,-0.01686
LP6005441-DNA_B01,Adygei,-0.03086
NA19625,ASW,-0.05018
NA19700,ASW,-0.01089
NA19701,ASW,-0.001993
NA19703,ASW,0.005825
NA19704,ASW,0.003285
NA19707,ASW,-0.01278
NA19711,ASW,0.002173
NA19712,ASW,0.01281
NA19713,ASW,-0.01658
NA19818,ASW,-0.002613
NA19819,ASW,-0.006459
NA19834,ASW,-0.02123
NA19835,ASW,-0.003761
NA19900,ASW,-0.005541
NA19901,ASW,0.01547
NA19904,ASW,0.002297
NA19908,ASW,0.01267
NA19909,ASW,0.001778
NA19913,ASW,0.007043
NA19914,ASW,-0.01563
NA19916,ASW,0.009797
NA19917,ASW,0.02332
NA19920,ASW,0.01158
NA19921,ASW,-0.03929
NA19922,ASW,-0.01634
NA19923,ASW,-0.01858
NA19982,ASW,0.00377
NA19984,ASW,-0.00367
NA20126,ASW,-0.01687
NA20127,ASW,0.02164
NA20274,ASW,-0.06062
NA20276,ASW,-0.009808
NA20278,ASW,-0.08501
NA20281,ASW,0.0002354
NA20282,ASW,-0.01995
NA20287,ASW,0.003867
NA20289,ASW,0.000619
NA20291,ASW,0.02024
NA20294,ASW,-0.00509
NA20296,ASW,-0.01555
NA20298,ASW,0.01957
NA20299,ASW,-0.07828
NA20314,ASW,0.09717
NA20317,ASW,-0.006858
NA20318,ASW,-0.02251
NA20320,ASW,0.004029
NA20321,ASW,-0.002768
NA20332,ASW,-0.01911
NA20334,ASW,-0.0245
NA20339,ASW,0.01952
NA20340,ASW,0.002884
NA20342,ASW,-0.04054
NA20346,ASW,-0.008492
NA20348,ASW,-0.002003
NA20351,ASW,-0.0359
NA20355,ASW,-0.006598
NA20356,ASW,0.002885
NA20357,ASW,0.008317
NA20359,ASW,0.005551
NA20362,ASW,-0.003986
NA20412,ASW,-0.01077
HGDP00052,Balochi,0.1015
HGDP00054,Balochi,0.01875
HGDP00056,Balochi,-0.02818
HGDP00057,Balochi,-0.05931
HGDP00060,Balochi,-0.0505
HGDP00062,Balochi,-0.009845
HGDP00064,Balochi,0.1014
HGDP00066,Balochi,0.05513
HGDP00068,Balochi,0.06802
HGDP00070,Balochi,-0.02507
HGDP00072,Balochi,-0.004259
HGDP00074,Balochi,0.1185
HGDP00076,Balochi,-0.04232
HGDP00078,Balochi,-0.02612
HGDP00080,Balochi,-0.01984
HGDP00082,Balochi,0.03851
HGDP00086,Balochi,0.04129
HGDP00088,Balochi,0.06592
